"userId","avg_rating_Adventure","avg_rating_Animation","avg_rating_Children","avg_rating_Comedy","avg_rating_Fantasy","avg_rating_Romance","avg_rating_Drama","avg_rating_Action","avg_rating_Crime","avg_rating_Thriller","avg_rating_Horror","avg_rating_Mystery","avg_rating_Sci-Fi","avg_rating_IMAX","avg_rating_Documentary","avg_rating_War","avg_rating_Musical","avg_rating_Western","avg_rating_Film-Noir","Adventure","Animation","Children","Comedy","Fantasy","Romance","Drama","Action","Crime","Thriller","Horror","Mystery","Sci-Fi","IMAX","Documentary","War","Musical","Western","Film-Noir"
1,3.47058823529412,NA,3.5,3.33333333333333,2.5,3.25,3.54901960784314,4.10526315789474,3.875,3.5,3.66666666666667,3.7,3.94117647058824,NA,3,3.31818181818182,NA,3.5,5,0.120567375886525,0,0.0141843971631206,0.361702127659574,0.0567375886524823,0.25531914893617,0.723404255319149,0.134751773049645,0.113475177304965,0.113475177304965,0.0212765957446809,0.0709219858156028,0.120567375886525,0,0.00709219858156028,0.156028368794326,0,0.0141843971631206,0.00709219858156028
2,4.14285714285714,4.875,4.72727272727273,4,4.75,4.76190476190476,4.45833333333333,3.88888888888889,3.5,4.18181818181818,1,5,NA,5,NA,4,4.85714285714286,NA,NA,0.134615384615385,0.153846153846154,0.211538461538462,0.5,0.0769230769230769,0.403846153846154,0.461538461538462,0.173076923076923,0.115384615384615,0.211538461538462,0.0192307692307692,0.0192307692307692,0,0.0384615384615385,0,0.0384615384615385,0.134615384615385,0,0
3,3.62068965517241,3.95833333333333,3.775,3.2037037037037,3.11764705882353,3.71428571428571,4.16981132075472,3.56034482758621,3.40625,3.46875,2.375,3.66666666666667,3.42857142857143,4.25,NA,4.08333333333333,3.85,3.5,NA,0.394557823129252,0.0816326530612245,0.136054421768707,0.36734693877551,0.115646258503401,0.238095238095238,0.360544217687075,0.394557823129252,0.108843537414966,0.217687074829932,0.0272108843537415,0.0204081632653061,0.238095238095238,0.0272108843537415,0,0.0816326530612245,0.0680272108843537,0.0204081632653061,0
4,3.4,NA,NA,3.14285714285714,3.33333333333333,NA,2.375,2.45454545454545,2,2.16666666666667,2.57142857142857,3,2.8,NA,NA,2.5,NA,NA,NA,0.185185185185185,0,0,0.259259259259259,0.111111111111111,0,0.296296296296296,0.407407407407407,0.111111111111111,0.444444444444444,0.259259259259259,0.148148148148148,0.185185185185185,0,0,0.0740740740740741,0,0,0
5,3.46153846153846,3.66666666666667,3.5,3,3,3.75,3.15384615384615,3.64285714285714,2.88888888888889,3.5625,2.5,3,3.2,3.66666666666667,NA,4,3.66666666666667,3,NA,0.393939393939394,0.0909090909090909,0.121212121212121,0.272727272727273,0.0606060606060606,0.121212121212121,0.393939393939394,0.424242424242424,0.272727272727273,0.484848484848485,0.0606060606060606,0.0303030303030303,0.151515151515152,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0303030303030303,0
6,4,2,NA,2.875,4.16666666666667,3.83333333333333,4.5,4.38636363636364,5,4.66666666666667,5,5,4.08333333333333,NA,NA,5,2,4,NA,0.423076923076923,0.0384615384615385,0,0.153846153846154,0.115384615384615,0.115384615384615,0.192307692307692,0.846153846153846,0.0384615384615385,0.461538461538462,0.0769230769230769,0.115384615384615,0.230769230769231,0,0,0.115384615384615,0.0384615384615385,0.0384615384615385,0
7,3.18181818181818,3.5,3.83333333333333,3.54166666666667,3.5,3.36363636363636,4.26666666666667,3.15384615384615,3.77777777777778,3.63636363636364,NA,NA,3.16666666666667,4,5,5,3.5,3.5,NA,0.25,0.0454545454545455,0.136363636363636,0.545454545454545,0.0909090909090909,0.25,0.340909090909091,0.295454545454545,0.204545454545455,0.25,0,0,0.136363636363636,0.0454545454545455,0.0227272727272727,0.0227272727272727,0.0454545454545455,0.0454545454545455,0
8,4.25,NA,NA,4.2,NA,3.9,4.27272727272727,4.33333333333333,4.38461538461539,4.53846153846154,4.5,4.5,4.2,4.25,NA,4.66666666666667,NA,NA,NA,0.0645161290322581,0,0,0.161290322580645,0,0.161290322580645,0.709677419354839,0.193548387096774,0.419354838709677,0.419354838709677,0.0645161290322581,0.193548387096774,0.161290322580645,0.0645161290322581,0,0.0967741935483871,0,0,0
9,4.16666666666667,3.5,NA,4.17307692307692,4.4375,4.33333333333333,4.16,3.97222222222222,4.3695652173913,4.36363636363636,4.16666666666667,4.4375,4,NA,NA,4.66666666666667,3.5,4,4,0.155172413793103,0.0172413793103448,0,0.448275862068966,0.137931034482759,0.103448275862069,0.431034482758621,0.310344827586207,0.396551724137931,0.379310344827586,0.103448275862069,0.137931034482759,0.103448275862069,0,0,0.0517241379310345,0.0172413793103448,0.0172413793103448,0.0172413793103448
10,2.85714285714286,2.89130434782609,2.79268292682927,2.64945652173913,2.84615384615385,2.640625,2.75,2.82844574780059,2.91393442622951,2.7375415282392,2.75454545454545,2.99242424242424,2.8092485549133,3.09322033898305,1.5,2.875,3.325,2.5,3.5,0.35,0.0348484848484849,0.0621212121212121,0.278787878787879,0.137878787878788,0.096969696969697,0.293939393939394,0.516666666666667,0.184848484848485,0.456060606060606,0.166666666666667,0.1,0.262121212121212,0.0893939393939394,0.00303030303030303,0.0424242424242424,0.0303030303030303,0.0151515151515152,0.00454545454545455
11,3.66666666666667,3,2.5,2.9,3.33333333333333,3.75,4,3.375,3,2.88888888888889,NA,3,4,NA,NA,NA,2,NA,NA,0.3,0.05,0.1,0.5,0.15,0.2,0.15,0.4,0.05,0.45,0,0.05,0.25,0,0,0,0.05,0,0
12,1.625,2.66666666666667,2.75,3.27777777777778,3,3.19230769230769,3.20833333333333,1.5,3,3.33333333333333,3.5,NA,0.666666666666667,NA,NA,3,2.66666666666667,NA,NA,0.173913043478261,0.130434782608696,0.173913043478261,0.391304347826087,0.217391304347826,0.565217391304348,0.521739130434783,0.130434782608696,0.0434782608695652,0.130434782608696,0.0869565217391304,0,0.130434782608696,0,0,0.0434782608695652,0.130434782608696,0,0
13,3.5,NA,NA,3.4375,4,3.77272727272727,3.675,3.61111111111111,3.53333333333333,3.51724137931034,3.66666666666667,3.2,3.5,NA,NA,4.125,4,2,3,0.123076923076923,0,0,0.246153846153846,0.0153846153846154,0.338461538461538,0.615384615384615,0.276923076923077,0.230769230769231,0.446153846153846,0.0461538461538462,0.0769230769230769,0.0615384615384615,0,0,0.123076923076923,0.0153846153846154,0.0153846153846154,0.0153846153846154
14,NA,NA,NA,4.98275862068965,5,4.75,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,0,1,0.0344827586206897,0.0689655172413793,0,0.0344827586206897,0,0,0,0,0,0,0,0,0.0344827586206897,0,0
15,2.91666666666667,2.71428571428571,2.75,3.5,3.11764705882353,3.74242424242424,3.89285714285714,2.91176470588235,3.5,3,2.83333333333333,3.9,3.125,3,3,2.5,2.58333333333333,NA,NA,0.292682926829268,0.0853658536585366,0.121951219512195,0.451219512195122,0.207317073170732,0.402439024390244,0.51219512195122,0.207317073170732,0.0731707317073171,0.109756097560976,0.0365853658536585,0.0609756097560976,0.0975609756097561,0.048780487804878,0.0121951219512195,0.024390243902439,0.0731707317073171,0,0
16,2.79411764705882,1.61111111111111,1.70833333333333,2.36160714285714,2.796875,2.46428571428571,2.76630434782609,2.92957746478873,2.93421052631579,2.98706896551724,2.11111111111111,3.109375,2.73214285714286,2.62,3,2.59090909090909,1.5,2,0.5,0.231292517006803,0.0306122448979592,0.0408163265306122,0.380952380952381,0.108843537414966,0.142857142857143,0.312925170068027,0.482993197278912,0.258503401360544,0.394557823129252,0.0612244897959184,0.108843537414966,0.19047619047619,0.0850340136054422,0.00340136054421769,0.0374149659863946,0.0102040816326531,0.00680272108843537,0.00340136054421769
17,4.20833333333333,3.5,3.66666666666667,3.88,4.22222222222222,4,4.36111111111111,4.14285714285714,4.46666666666667,4.08,4,4.66666666666667,4.3,5,4,3.7,NA,3,NA,0.27906976744186,0.0232558139534884,0.0348837209302326,0.290697674418605,0.104651162790698,0.13953488372093,0.418604651162791,0.406976744186047,0.174418604651163,0.290697674418605,0.0348837209302326,0.104651162790698,0.232558139534884,0.0116279069767442,0.0116279069767442,0.116279069767442,0,0.0116279069767442,0
18,3.62903225806452,4.1875,4.35294117647059,3.65573770491803,4.26923076923077,3.58108108108108,4.01388888888889,3.15909090909091,4.07692307692308,3.76190476190476,4.5,3.66666666666667,3.36666666666667,3.55555555555556,5,3.625,4.3125,4,NA,0.22463768115942,0.115942028985507,0.123188405797101,0.442028985507246,0.0942028985507246,0.268115942028986,0.521739130434783,0.159420289855072,0.188405797101449,0.152173913043478,0.0289855072463768,0.0652173913043478,0.108695652173913,0.0652173913043478,0.0072463768115942,0.0289855072463768,0.0579710144927536,0.0072463768115942,0
19,4.21739130434783,4.125,4.13793103448276,4.16666666666667,4.41666666666667,4,3.81818181818182,4.28571428571429,4.8,4.33333333333333,4.2,5,4,4.5,NA,5,4.35294117647059,5,NA,0.48936170212766,0.680851063829787,0.617021276595745,0.382978723404255,0.25531914893617,0.148936170212766,0.234042553191489,0.148936170212766,0.106382978723404,0.0638297872340425,0.106382978723404,0.0212765957446809,0.106382978723404,0.0425531914893617,0,0.0212765957446809,0.361702127659574,0.0212765957446809,0
20,4.03260869565217,4.20588235294118,4.02941176470588,3.95918367346939,4.11764705882353,3.53125,3.59090909090909,3.76415094339623,4.03333333333333,3.77777777777778,4,3.6875,3.55555555555556,3.55,NA,3.5,4,2.66666666666667,4.5,0.328571428571429,0.121428571428571,0.121428571428571,0.35,0.121428571428571,0.114285714285714,0.392857142857143,0.378571428571429,0.214285714285714,0.257142857142857,0.0285714285714286,0.114285714285714,0.192857142857143,0.0714285714285714,0,0.0714285714285714,0.0285714285714286,0.0214285714285714,0.0142857142857143
21,NA,NA,NA,4.2,4.66666666666667,4,4.33333333333333,4.5,3,4.05,3.81818181818182,4.5,4.33333333333333,NA,NA,NA,NA,NA,NA,0,0,0,0.142857142857143,0.0857142857142857,0.0285714285714286,0.0857142857142857,0.0571428571428571,0.0285714285714286,0.571428571428571,0.942857142857143,0.171428571428571,0.0857142857142857,0,0,0,0,0,0
22,3.6578947368421,4.66666666666667,4.4,3.92857142857143,4.04545454545455,3.75,3.71052631578947,3.39655172413793,3.8125,3.4,3.625,3.77777777777778,3.4,3.75,NA,NA,3.75,NA,NA,0.301587301587302,0.0476190476190476,0.0793650793650794,0.444444444444444,0.174603174603175,0.0952380952380952,0.301587301587302,0.46031746031746,0.253968253968254,0.238095238095238,0.0634920634920635,0.142857142857143,0.238095238095238,0.0317460317460317,0,0,0.0317460317460317,0,0
